senal_regulatoria,tema_estrategico,linea_pmge,tipo_insumo_agenda,relevancia_label,num_documentos,num_fuentes,fuentes,tecnologias,bandas_frecuencia,evidencia,relevancia_score_promedio,actividad_score_promedio,prioridad_score
Regulación de obligaciones no-SMP y compartición de infraestructura en la UE,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"5G, Redes de muy alta capacidad (VHCN), Redes móviles de banda ancha, Sistemas de alerta pública, Redes de cable",,"Conectividad satelital, NTN y D2D; tecnologías: 5G, Redes de muy alta capacidad (VHCN), Redes móviles de banda ancha, Sistemas de alerta pública.",9.0,3.0,12.0
Neutralidad de Red y Principios de Internet Abierta,Otros temas de seguimiento,Necesidades transversales,Seguimiento,Alta,1,1,Cullen International,"IPTV, Video on Demand (VoD), Over-the-top (OTT) services",,"Otros temas de seguimiento; tecnologías: IPTV, Video on Demand (VoD), Over-the-top (OTT) services.",9.0,3.0,12.0
Reforma regulatoria de telecomunicaciones y radiodifusión en México,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"Servicios de telecomunicaciones, Servicios de radiodifusión, Sistemas satelitales, Plataformas de gran altitud (globos estratosféricos), Radiocomunicaciones espaciales, Acceso inalámbrico móvil, Spectrum sharing, NTN",,"Conectividad satelital, NTN y D2D; tecnologías: Servicios de telecomunicaciones, Servicios de radiodifusión, Sistemas satelitales, Plataformas de gran altitud (globos estratosféricos).",9.0,3.0,12.0
Recomendaciones de política para el espectro 5G,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,GSMA,"5G, 5G-Advanced, 4G, IoT, IA, Realidad Virtual, Vehículos conectados, Fixed Wireless Access (FWA), Network Slicing, Mobile Edge Computing","Low-band (below 1 GHz), Mid-band (1-8.4 GHz), High-band (above 24 GHz), mmWave, 600 MHz, 700 MHz, 800 MHz, 900 MHz, 1500 MHz, 1700 MHz, 1800 MHz, 2.1 GHz, 2.3 GHz, 2.6 GHz, 3.5 GHz, 4.8 GHz, 6 GHz, 26 GHz, 28 GHz","Disponibilidad de espectro para IMT; tecnologías: 5G, 5G-Advanced, 4G, IoT; bandas: Low-band (below 1 GHz), Mid-band (1-8.4 GHz), High-band (above 24 GHz), mmWave.",10.0,2.0,12.0
Comunicaciones satelitales y su regulación,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"Satélites, NTN, Constelaciones satelitales, Banda ancha satelital, Sistemas de navegación por satélite, Inter-satellite links",,"Conectividad satelital, NTN y D2D; tecnologías: Satélites, NTN, Constelaciones satelitales, Banda ancha satelital.",9.0,2.0,11.0
Evaluación y priorización de temas para la Agenda Regulatoria de Espectro ANE 2027-2028,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,ejercicio preliminar,"IMT, Wi-Fi, AFC, D2D, NTN, MSS, NGSO, GSO, 6G, IMT-2030, 5G-Advanced, ISAC, DTT, DAB, 5G, Redes privadas, GNSS, PNT, IA, UAS/drones, C-V2X, ECall, 2G, 3G, FWA, Radioaltímetros, mmWave","6 GHz, 600 MHz, 700 MHz, Sub-THz, 7 GHz, UHF, 470-694 MHz, Upper C-band, 900 MHz, 26 GHz, 28 GHz, Banda Q, Banda V, Banda E, Banda S, banda Ka","Conectividad satelital, NTN y D2D; tecnologías: IMT, Wi-Fi, AFC, D2D; bandas: 6 GHz, 600 MHz, 700 MHz, Sub-THz.",9.0,2.0,11.0
Gestión del espectro para nuevas tecnologías y redes privadas en América Latina,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,ejercicio preliminar,"D2D, Conectividad satelital, 4G, 5G, 6G, LEO, Banda ancha satelital a celulares, IoT, Wi-Fi, Wi-Fi 7, IMT, NTN, IA","Banda L MSS, 1670-1675 MHz, 2300-2400 MHz, 6425-7125 MHz, 2500-2690 MHz, 3300-3600 MHz, 5925-7125 MHz, 3.5 GHz, Bandas bajo estudio CMR-27","Conectividad satelital, NTN y D2D; tecnologías: D2D, Conectividad satelital, 4G, 5G; bandas: Banda L MSS, 1670-1675 MHz, 2300-2400 MHz, 6425-7125 MHz.",9.0,2.0,11.0
Tendencias regulatorias y tecnológicas en la gestión del espectro para la conectividad futura,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,ejercicio preliminar,"D2D, LEO, Banda ancha satelital a celulares, Redes privadas, IoT, IMT (International Mobile Telecommunications), 5G, 6G, Wi-Fi, Wi-Fi 7, NTN, IA","Banda L MSS, 1670-1675 MHz, 2300-2400 MHz, 6425-7125 MHz, 2500-2690 MHz, 3300-3600 MHz, 5925-7125 MHz, 3.5 GHz, Bandas bajo estudio CMR-27","Conectividad satelital, NTN y D2D; tecnologías: D2D, LEO, Banda ancha satelital a celulares, Redes privadas; bandas: Banda L MSS, 1670-1675 MHz, 2300-2400 MHz, 6425-7125 MHz.",9.0,2.0,11.0
Vigilancia tecnológica para la Agenda Regulatoria ANE 2027-2028,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,ejercicio preliminar,"IMT, Wi-Fi, D2D, NTN, 5G, 6G, LPWAN, IoT, FWA, TDT, PMSE, Edge computing, Small cells, TVWS, Automatización, IA","6 GHz, IMT/MSS, 3.7-4.2 GHz, 26 GHz, Multibanda, Bandas candidatas IMT-2030, 410-470 MHz, mmWave, 23 GHz, 37 GHz, 39.8-42 GHz, 3.3-3.8 GHz, Bandas satelitales (Q/V/E), UHF, 600 MHz, 700 MHz, Bandas licenciadas/no licenciadas, Bandas de microondas (E/W/D), Bandas 2G/3G/4G/5G","Conectividad satelital, NTN y D2D; tecnologías: IMT, Wi-Fi, D2D, NTN; bandas: 6 GHz, IMT/MSS, 3.7-4.2 GHz, 26 GHz.",9.0,2.0,11.0
Gestión y regulación del espectro para nuevas tecnologías y servicios,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,ejercicio preliminar,"Wi-Fi, IMT, D2D, NTN, HAPS, HIBS, C-V2X, ITS, Satélites, Redes privadas","6 GHz, 7/8 GHz, 14.8-15.35 GHz, Bandas Q/V/E, Bandas altas","Conectividad satelital, NTN y D2D; tecnologías: Wi-Fi, IMT, D2D, NTN; bandas: 6 GHz, 7/8 GHz, 14.8-15.35 GHz, Bandas Q/V/E.",9.0,2.0,11.0
Identificación de temas prioritarios para la Agenda Regulatoria ANE 2027-2028,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,ejercicio preliminar,"Wi-Fi, IMT, D2D, NTN, 5G-Advanced, 6G, IoT, Satélites, UAS/drones, C-V2X, ITS, HAPS, IA","6 GHz, mmWave, 70/80/90 GHz, 5030-5091 MHz, 5.9 GHz, Banda Q, Banda V, Banda E, Sub-THz, 3.98-4.2 GHz","Conectividad satelital, NTN y D2D; tecnologías: Wi-Fi, IMT, D2D, NTN; bandas: 6 GHz, mmWave, 70/80/90 GHz, 5030-5091 MHz.",9.0,2.0,11.0
Identificación y validación de tendencias regulatorias y tecnológicas clave para la gestión del espectro,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,ejercicio preliminar,"IMT, Wi-Fi, D2D, NTN, IA, Satélites, ISAC, 5G, 6G, PPDR","6 GHz, Bandas medias-altas, Bandas Q/V/E, Sub-THz","Conectividad satelital, NTN y D2D; tecnologías: IMT, Wi-Fi, D2D, NTN; bandas: 6 GHz, Bandas medias-altas, Bandas Q/V/E, Sub-THz.",9.0,2.0,11.0
Priorización de temas regulatorios para la gestión del espectro y nuevas tecnologías,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,ejercicio preliminar,"Wi-Fi, Wi-Fi 7, 5G, 6G, IMT-2030, D2D, NTN, Satélites, IoT, IMT, FWA","6 GHz, 6425-7125 MHz, 5925-7125 MHz, 2300-2400 MHz, 3.5 GHz, Banda L MSS, 1670-1675 MHz, 600 MHz, 700 MHz, 2.5 GHz, 27.5-28.35 GHz","Conectividad satelital, NTN y D2D; tecnologías: Wi-Fi, Wi-Fi 7, 5G, 6G; bandas: 6 GHz, 6425-7125 MHz, 5925-7125 MHz, 2300-2400 MHz.",9.0,2.0,11.0
Priorización de temas para la Agenda Regulatoria ANE 2027-2028,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,ejercicio preliminar,"IMT, Wi-Fi, AFC, D2D, NTN, MSS, NGSO, GSO, 6G, 5G-Advanced, ISAC, DTT, DAB, 5G, Redes privadas, GNSS, PNT, IA, C-V2X, ECall, UAS/drones, IoT, FWA, mmWave, VHF","2 GHz, 6 GHz, 942-947 MHz, 900 MHz, 947 MHz, 703-748 MHz, 758-803 MHz, 700 MHz, 748 MHz, 803 MHz, 850 MHz, 2100 MHz, 5925–6585 MHz, 6585 MHz, 6425-6585 MHz, 6585-7100 MHz, 515 MHz, 7100 MHz, L-band, 1710–1780 MHz, 2110–2200 MHz, 2.1 GHz, 1780 MHz, 2200 MHz, 1618–1626 MHz, 1626 MHz, 19.7-20.2 GHz, 20.2 GHz, 708-718 MHz, 763-773 MHz, 3.5 GHz, 6.425–7.125 GHz, 7.125-7.250 GHz, 7.250 GHz, 400 MHz, 7.125-7.225 GHz, 3.6-3.7 GHz, 7 GHz, 7.225 GHz, 3.7 GHz, 28 GHz, 26 GHz, 174–216 MHz, 470–608 MHz, 600 MHz, 216 MHz, 608 MHz, UHF, 470–614 MHz, 614 MHz, 3.8-4.2 GHz, 4.2 GHz, 24.25–26.5 GHz, 2.6 GHz, 3.4 GHz, 26.5 GHz, 2.3 GHz, 2.5 GHz, 1800 MHz, 935-944 MHz, 944-953 MHz, 953 MHz, 800 MHz, 226 MHz, 4.2-4.4 GHz, 8.4–8.5 GHz, 6.425-7.25 GHz, 4.4 GHz, 8.5 GHz, 6.9 GHz, C-band, 1430-1444 MHz, 4 GHz, 1444 MHz, 1.4 GHz, 5.9 GHz, 3.7–4.2 GHz, 3.98–4.2 GHz, 180 MHz, 3.7–3.98 GHz, 3.98–4.0 GHz, 4.0 GHz, 100 MHz, 3.89-4.2 GHz, 4.0-4.2 GHz, 7-8 GHz, 3600 MHz, 470–510 MHz, 510 MHz","Conectividad satelital, NTN y D2D; tecnologías: IMT, Wi-Fi, AFC, D2D; bandas: 2 GHz, 6 GHz, 942-947 MHz, 900 MHz.",9.0,2.0,11.0
Identificación de temas clave para la agenda regulatoria de espectro,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,ejercicio preliminar,"Wi-Fi, IMT, D2D, NTN, 5G, 6G, Satélite, IA","6 GHz, UHF, Sub-700, 410/450 MHz, 410-430 MHz, 450-470 MHz, 440-470 MHz","Conectividad satelital, NTN y D2D; tecnologías: Wi-Fi, IMT, D2D, NTN; bandas: 6 GHz, UHF, Sub-700, 410/450 MHz.",9.0,2.0,11.0
Vigilancia tecnológica y regulatoria para la planificación del espectro,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,ejercicio preliminar,"Wi-Fi, IMT, D2D, NTN, 5G, 6G, LTE, IA, Edge computing, Data centers, Radiodifusión, Satélites","6 GHz, 470-694 MHz, 450 MHz, 410-430 MHz, 450-470 MHz, Sub-700","Conectividad satelital, NTN y D2D; tecnologías: Wi-Fi, IMT, D2D, NTN; bandas: 6 GHz, 470-694 MHz, 450 MHz, 410-430 MHz.",9.0,2.0,11.0
Vigilancia tecnológica y regulatoria para la gestión del espectro y nuevas tecnologías,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,2,1,ejercicio preliminar,"Wi-Fi, IMT, 5G-Advanced, 6G, NTN, D2D, ISAC (Integrated Sensing and Communications), Satélites, HAPS, UAS, Backhaul, RedCap, IA, AFC (Automated Frequency Coordination), 5G, MRSS, FWA, Wi-Fi 7, MSS","6 GHz, 4400-4800 MHz, 7125-8400 MHz, 14.8-15.35 GHz, 694/698 MHz-2.7 GHz, Q/V-band, E-band, W-band, 12.7-13.25 GHz, 42 GHz, 51.4-52.4 GHz, 70/80/90 GHz, 40.5-43.5 GHz, 100-400 GHz (sub-THz), 7/8 GHz, 2.3 GHz, 3.5 GHz, 600 MHz, 2.5 GHz, 700 MHz","Conectividad satelital, NTN y D2D; tecnologías: Wi-Fi, IMT, 5G-Advanced, 6G; bandas: 6 GHz, 4400-4800 MHz, 7125-8400 MHz, 14.8-15.35 GHz., Conectividad satelital, NTN y D2D; tecnologías: IMT, D2D, 5G, 5G-Advanced; bandas: 6 GHz, 7/8 GHz, 2.3 GHz, 3.5 GHz.",9.0,2.0,11.0
Vigilancia tecnológica y regulatoria para la Agenda ANE 2027-2028,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,ejercicio preliminar,"D2D, NTN, 5G, 6G, Satélite, Small cells, IA","6 GHz, UHF, 410/450 MHz, Sub-700","Conectividad satelital, NTN y D2D; tecnologías: D2D, NTN, 5G, 6G; bandas: 6 GHz, UHF, 410/450 MHz, Sub-700.",9.0,2.0,11.0
Vigilancia tecnológica y regulatoria para la gestión del espectro,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,ejercicio preliminar,"Wi-Fi, IMT, IMT-2030, 6G, 5G-Advanced, NTN, Satélites, HAPS, UAS, D2D, C-V2X, DTT, FSS, IoT, IA","6 GHz, Sub-THz, Bandas por encima de 100 GHz, Banda Q, Banda V, Banda E, Banda W, 42 GHz, 52 GHz, 70 GHz, 80 GHz, 90 GHz, 40.5-43.5 GHz, 3.7-3.8 GHz, 26 GHz, 5.850-5.925 GHz, 5.9 GHz, UHF, 3.98-4.2 GHz","Conectividad satelital, NTN y D2D; tecnologías: Wi-Fi, IMT, IMT-2030, 6G; bandas: 6 GHz, Sub-THz, Bandas por encima de 100 GHz, Banda Q.",9.0,2.0,11.0
Vigilancia tecnológica y regulatoria para la gestión del espectro radioeléctrico,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,2,1,ejercicio preliminar,"5G, Wi-Fi, LTE, IMT, NTN, Satélites, Redes privadas, NFV/SDN, Automatización, Network slicing, Satélite integrado a redes móviles, MFCN, Edge computing, Caching, API, IMT-2030, 6G, D2D, IoT, Radiodifusión, PMSE","600 MHz, 6 GHz, 26 GHz, 2.3 GHz, 1427-1517 MHz, 700 MHz, 410-430 MHz, 450-470 MHz, 3.4-3.8 GHz, IMT, MSS, Bandas IMT existentes, Bandas IMT bajas, medias y altas, Bandas satelitales, 6425–7125 MHz, Bandas candidatas para 6G, Bandas futuras IMT, Bandas MSS, 470–694 MHz, Multibanda","Conectividad satelital, NTN y D2D; tecnologías: 5G, Wi-Fi, LTE, IMT; bandas: 600 MHz, 6 GHz, 26 GHz, 2.3 GHz., Conectividad satelital, NTN y D2D; tecnologías: 5G, NFV/SDN, Automatización, Network slicing; bandas: Bandas IMT existentes, Bandas IMT bajas, medias y altas, Bandas satelitales, 6425–7125 MHz.",9.0,2.0,11.0
Tendencias regulatorias y tecnológicas en gestión del espectro para nuevas aplicaciones,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,ejercicio preliminar,"D2D, 5G, 6G, NTN, IoT, Wi-Fi, Redes privadas, LEO, IA, IMT (International Mobile Telecommunications), Wi-Fi 7","Banda L MSS, 1670-1675 MHz, 2300-2400 MHz, 6 GHz, 6425-7125 MHz, 5925-7125 MHz, 2500-2690 MHz, 3300-3600 MHz, 3.5 GHz, Bandas bajo estudio CMR-27","Conectividad satelital, NTN y D2D; tecnologías: D2D, 5G, 6G, NTN; bandas: Banda L MSS, 1670-1675 MHz, 2300-2400 MHz, 6 GHz.",9.0,2.0,11.0
Temas recomendados para la Agenda Regulatoria ANE 2027-2028,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,ejercicio preliminar,"Redes privadas, GNSS/PNT, Wi-Fi, IMT, D2D, NTN, MSS, NGSO/GSO, IA, 6G, 5G-Advanced, ISAC, 2G/3G, DTT, DAB, 5G, FWA, PMSE, Guerra electrónica","6 GHz, Sub-THz, 7 GHz, Banda Q, Banda V, Banda E, Banda S, banda Ka, 600 MHz, 700 MHz, UHF, 900 MHz, 26 GHz, 28 GHz, mmWave, Upper C-band","Conectividad satelital, NTN y D2D; tecnologías: Redes privadas, GNSS/PNT, Wi-Fi, IMT; bandas: 6 GHz, Sub-THz, 7 GHz, Banda Q.",9.0,2.0,11.0
Tendencias globales en gestión del espectro y nuevas tecnologías inalámbricas,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,ejercicio preliminar,"D2D, Spectrum sharing, DTT, PMSE, Redes privadas, CBRS, 5G, IMT, NTN, MSS, LEO, Banda ancha satelital","6 GHz, 3.8-4.2 GHz, 4.2 GHz, 2 GHz, 2.3 GHz, 2.5 GHz, 3.4 GHz, 700 MHz, 850 MHz, 1800 MHz","Conectividad satelital, NTN y D2D; tecnologías: D2D, Spectrum sharing, DTT, PMSE; bandas: 6 GHz, 3.8-4.2 GHz, 4.2 GHz, 2 GHz.",9.0,2.0,11.0
Ajuste de la Agenda Regulatoria ANE 2027-2028 basado en tendencias de espectro y telecomunicaciones,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,ejercicio preliminar,"IMT, 6G, FWA, 5G, D2D, NTN, MSS, PNT/GNSS, CBRS, AFC, SAS, DTT, DAB, IA, ESIM, NGSO/GSO","6 GHz, 700 MHz, 3.8–4.2 GHz, 440–470 MHz, 900 MHz, 2 GHz MSS, 7 GHz, 8 GHz, E-band, banda Ka, UHF","Conectividad satelital, NTN y D2D; tecnologías: IMT, 6G, FWA, 5G; bandas: 6 GHz, 700 MHz, 3.8–4.2 GHz, 440–470 MHz.",9.0,1.0,10.0
Análisis de tendencias regulatorias y tecnológicas para la Agenda ANE 2027-2028,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,ejercicio preliminar,"5G, 6G, NTN, Satélites, IoT, Wi-Fi, IA, IMT, AFC, D2D, MSS, NGSO, GSO, IMT-2030, 5G-Advanced, ISAC, DTT, DAB, GNSS, PNT","6 GHz, 600 MHz, 700 MHz, Sub-THz, 7 GHz, UHF, mmWave","Conectividad satelital, NTN y D2D; tecnologías: 5G, 6G, NTN, Satélites; bandas: 6 GHz, 600 MHz, 700 MHz, Sub-THz.",9.0,1.0,10.0
Monitoreo de tendencias tecnológicas y regulatorias,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,CRC,"5G, 6G, Open RAN, NTN, Hyperscaler Cloud, IA, Drones Mensajeros, Realidad Aumentada, Brain-Computer Interfaces, GPS, GSM",,"Conectividad satelital, NTN y D2D; tecnologías: 5G, 6G, Open RAN, NTN.",8.0,2.0,10.0
Monitoreo de tendencias tecnológicas y de mercado en telecomunicaciones,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,CRC,"5G, Virtualización de funciones de red (NFV), Redes definidas por software (SDN), Edge Computing, Network Slicing, Acceso fijo inalámbrico (FWA), NTN, Taara Kightbridge, FTTx, Fibra óptica con núcleo hueco, Compartición de infraestructura, Redes neutras de fibra óptica, Redes privadas",,"Conectividad satelital, NTN y D2D; tecnologías: 5G, Virtualización de funciones de red (NFV), Redes definidas por software (SDN), Edge Computing.",8.0,2.0,10.0
Regulación de alertas de emergencia móvil en México,Otros temas de seguimiento,Necesidades transversales,No prioritario,Media,1,1,Cullen International,"Alertas de emergencia móvil, 3GPP, Teléfonos móviles",,"Otros temas de seguimiento; tecnologías: Alertas de emergencia móvil, 3GPP, Teléfonos móviles.",5.0,3.0,8.0
Metodología de vigilancia tecnológica para agenda regulatoria,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,ejercicio preliminar,,,"Conectividad satelital, NTN y D2D.",7.0,1.0,8.0
Metodología de vigilancia tecnológica para agenda regulatoria,Otros temas de seguimiento,Necesidades transversales,Seguimiento,Alta,1,1,ejercicio preliminar,,,Otros temas de seguimiento.,7.0,1.0,8.0
matriz_vigilancia_ampliada_Agenda_2027_2028.xlsx,Otros temas de seguimiento,Necesidades transversales,Seguimiento,Baja,1,1,ejercicio preliminar,,,Otros temas de seguimiento.,3.0,0.0,3.0
